card,Troops,flagURL,lllat,lllon,ratio,width
1,France,https://github.com/DanielJWood/dunkirk/raw/master/img/france.png,48.45835188,1.7578125,2,2.153320313
1,United Kingdom,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/uk.png,52.13348804,-2.065429688,2,2.153320313
1,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,49.66762782,7.470703125,2,2.153320313
2,France,https://github.com/DanielJWood/dunkirk/raw/master/img/france.png,51.44716035,4.108886719,2,0.600163
2,United Kingdom,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/uk.png,50.72254683,4.141845703,2,0.600163
2,France,https://github.com/DanielJWood/dunkirk/raw/master/img/france.png,50.02185842,4.460449219,2,0.600163
2,France,https://github.com/DanielJWood/dunkirk/raw/master/img/france.png,49.20324274,4.680175781,2,0.600163
2,France,https://github.com/DanielJWood/dunkirk/raw/master/img/france.png,48.69096039,5.592041016,2,0.600163
2,France,https://github.com/DanielJWood/dunkirk/raw/master/img/france.png,48.31973404,6.405029297,2,0.600163
2,France,https://github.com/DanielJWood/dunkirk/raw/master/img/france.png,47.58393662,6.459960937,2,0.600163
2,France,https://github.com/DanielJWood/dunkirk/raw/master/img/france.png,47.93106635,4.954833984,2,0.600163
2,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,52.35547371,5.998535156,2,0.600163
2,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,51.92394345,5.723876953,2,0.600163
2,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,51.29627609,6.009521484,2,0.600163
2,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,50.73645514,5.811767578,2,0.600163
2,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,49.74578131,6.009521484,2,0.600163
2,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,50.24017888,6.075439453,2,0.600163
3,United Kingdom,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/uk.png,50.76425936,3.905639648,2,0.600163
3,France,https://github.com/DanielJWood/dunkirk/raw/master/img/france.png,49.51094352,4.196777344,2,0.600163
3,France,https://github.com/DanielJWood/dunkirk/raw/master/img/france.png,50.2472049,3.933105469,2,0.600163
